#                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name              accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#      ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_SNYI01000002.1_ORF.2102 -          muscle_verified_nusG -            1.9e-13   50.1   0.6   2.5e-13   49.7   0.6   1.1   1   0   0   1   1   1   1 [260600-261158](+) type:complete length:558 frame:3 start:ATG stop:TAA
NZ_SNYI01000003.1_ORF.1102 -          muscle_verified_nusG -              0.013   14.8   0.3     0.021   14.2   0.3   1.3   1   0   0   1   1   1   0 [91484-91793](+) type:complete length:309 frame:3 start:ATG stop:TAG
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      ./proteins/nusG_pHMM.hmm
# Target file:     ../orfs/extracted_orfs/Zeaxanthinibacter_enoshimensis.faa
# Option settings: hmmsearch --tblout ./results/Zeaxanthinibacter_enoshimensis.faa_nusG_pHMM.hmm_results.tsv ./proteins/nusG_pHMM.hmm ../orfs/extracted_orfs/Zeaxanthinibacter_enoshimensis.faa 
# Current dir:     /mnt/scratch/marshall/comparative_genomics/github/dna_context/hmmer
# Date:            Mon Oct 23 15:39:32 2023
# [ok]
